代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sz300486,东杰智能,0.0,0.0,0.0,23.26,23.26,23.14,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300487,蓝晓科技,0.0,0.0,0.0,64.98,64.98,65.01,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300488,恒锋工具,0.0,0.0,0.0,30.15,30.15,30.16,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300489,光智科技,0.0,0.0,0.0,94.33,94.33,94.33,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300490,华自科技,0.0,0.0,0.0,19.96,19.96,19.96,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300491,通合科技,0.0,0.0,0.0,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300492,华图山鼎,0.0,0.0,0.0,50.5,50.5,50.32,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300493,润欣科技,0.0,0.0,0.0,15.75,15.75,15.94,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300494,盛天网络,0.0,0.0,0.0,11.19,11.19,11.24,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300496,中科创达,0.0,0.0,0.0,63.66,63.66,63.93,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300497,富祥药业,0.0,0.0,0.0,19.75,19.75,19.83,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300498,温氏股份,0.0,0.0,0.0,16.13,16.13,16.12,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300499,高澜股份,0.0,0.0,0.0,39.23,39.23,39.0,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300500,启迪设计,0.0,0.0,0.0,11.15,11.15,11.5,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300501,海顺新材,0.0,0.0,0.0,14.09,14.09,13.87,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300502,新易盛,0.0,0.0,0.0,549.0,549.0,537.0,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300503,昊志机电,0.0,0.0,0.0,63.82,63.82,64.4,0.0,0.0,0.0,0.0,0.0,09:24:03
